ticket_id,user_id,username,time_arrival,status,channel,error_type,urgency,time_updated,time_closed,resolution_time_hours
TKT-1194,USR-341,james_x,2024-05-25 09:38:00,closed,telegram,billing,low,2024-05-25 14:56:29,2024-05-25 23:36:12,13.97
TKT-1195,USR-479,pooja_g,2024-05-15 19:25:00,closed,telegram,delivery,medium,2024-05-15 21:59:44,2024-05-16 03:41:48,8.28
TKT-1196,USR-216,alex_m,2024-05-23 11:16:00,closed,slack,billing,medium,2024-05-23 14:29:19,2024-05-23 17:57:24,6.69
TKT-1197,USR-319,tanvi_b,2024-05-05 14:07:00,closed,telegram,website,high,2024-05-05 14:27:06,2024-05-05 15:34:36,1.46
TKT-1198,USR-276,william_z,2024-03-23 05:22:00,closed,telegram,delivery,high,2024-03-23 07:11:22,2024-03-23 09:42:24,4.34
TKT-1199,USR-397,ananya_p,2024-06-29 04:11:00,closed,slack,website,medium,2024-06-29 06:34:19,2024-06-29 10:06:12,5.92
TKT-1200,USR-224,michael_b,2024-01-07 19:35:00,closed,slack,delivery,high,2024-01-07 20:42:47,2024-01-07 22:30:12,2.92
TKT-1201,USR-664,rahul_v,2024-05-03 00:26:00,closed,slack,delivery,low,2024-05-03 14:08:16,2024-05-04 02:19:24,25.89
TKT-1202,USR-175,rahul_v,2024-04-30 05:33:00,closed,telegram,website,low,2024-04-30 13:14:20,2024-04-30 19:30:00,13.95
TKT-1203,USR-898,riya_m,2024-01-15 11:33:00,closed,slack,delivery,medium,2024-01-15 12:55:18,2024-01-15 16:42:36,5.16
TKT-1204,USR-430,william_z,2024-05-12 17:54:00,closed,slack,billing,high,2024-05-12 18:17:33,2024-05-12 19:18:36,1.41
TKT-1205,USR-664,david_l,2024-05-16 10:32:00,closed,slack,website,low,2024-05-16 16:21:33,2024-05-16 23:52:24,13.34
TKT-1206,USR-694,rahul_v,2024-06-03 18:53:00,closed,slack,website,medium,2024-06-03 20:17:09,2024-06-04 01:21:48,6.48
TKT-1207,USR-984,alex_m,2024-05-27 16:41:00,closed,slack,delivery,high,2024-05-27 17:36:19,2024-05-27 18:50:00,2.15
TKT-1208,USR-732,james_x,2024-05-19 17:41:00,closed,slack,billing,high,2024-05-19 18:49:24,2024-05-19 20:35:00,2.9
TKT-1209,USR-924,diya_r,2024-06-25 09:10:00,closed,telegram,billing,medium,2024-06-25 11:58:25,2024-06-25 16:17:48,7.13
TKT-1210,USR-308,chris_w,2024-03-23 07:55:00,closed,slack,billing,high,2024-03-23 08:35:07,2024-03-23 09:46:36,1.86
TKT-1211,USR-878,pooja_g,2024-02-01 16:28:00,closed,slack,billing,low,2024-02-01 19:12:00,2024-02-02 03:55:00,11.45
TKT-1212,USR-397,ethan_h,2024-02-10 18:59:00,closed,telegram,delivery,high,2024-02-10 20:16:14,2024-02-10 22:56:36,3.96
TKT-1213,USR-881,emily_r,2024-03-19 23:01:00,closed,telegram,website,medium,2024-03-20 00:26:06,2024-03-20 02:59:12,3.97
TKT-1214,USR-568,neha_t,2024-01-13 17:31:00,closed,slack,website,low,2024-01-14 00:26:25,2024-01-14 06:24:24,12.89
TKT-1215,USR-788,shreya_c,2024-01-28 21:08:00,closed,telegram,website,low,2024-01-29 07:37:51,2024-01-29 18:30:48,21.38
TKT-1216,USR-882,ethan_h,2024-05-26 01:12:00,closed,telegram,delivery,medium,2024-05-26 03:56:05,2024-05-26 09:52:12,8.67
TKT-1217,USR-495,noah_f,2024-06-09 05:39:00,closed,telegram,website,low,2024-06-09 12:02:45,2024-06-09 16:29:24,10.84
TKT-1218,USR-503,pooja_g,2024-02-06 14:38:00,closed,telegram,website,high,2024-02-06 15:33:41,2024-02-06 16:57:12,2.32
TKT-1219,USR-146,priya_s,2024-05-02 00:29:00,closed,slack,website,low,2024-05-02 05:07:10,2024-05-02 08:48:12,8.32
TKT-1220,USR-243,chris_w,2024-06-07 07:53:00,closed,telegram,delivery,low,2024-06-07 15:15:48,2024-06-08 05:56:36,22.06
TKT-1221,USR-948,noah_f,2024-05-01 08:23:00,closed,telegram,website,medium,2024-05-01 09:41:16,2024-05-01 13:44:00,5.35
TKT-1222,USR-526,oliver_q,2024-06-10 08:38:00,closed,telegram,website,high,2024-06-10 09:56:52,2024-06-10 10:52:24,2.24
TKT-1223,USR-901,oliver_q,2024-05-02 13:33:00,closed,slack,website,low,2024-05-02 19:28:16,2024-05-03 02:46:12,13.22
TKT-1224,USR-961,ethan_h,2024-05-27 06:07:00,closed,slack,website,low,2024-05-27 09:24:37,2024-05-27 14:52:00,8.75
TKT-1225,USR-528,rahul_v,2024-05-09 03:58:00,closed,telegram,website,low,2024-05-09 12:26:23,2024-05-09 19:40:36,15.71
TKT-1226,USR-844,priya_s,2024-03-25 05:30:00,closed,slack,website,low,2024-03-25 09:27:29,2024-03-25 17:39:36,12.16
TKT-1227,USR-277,liam_j,2024-06-24 04:51:00,closed,telegram,website,low,2024-06-24 13:11:04,2024-06-24 23:37:12,18.77
TKT-1228,USR-296,neha_t,2024-03-17 17:45:00,closed,telegram,website,low,2024-03-17 23:33:46,2024-03-18 05:48:36,12.06
TKT-1229,USR-424,shreya_c,2024-03-11 17:07:00,closed,telegram,website,high,2024-03-11 18:08:50,2024-03-11 19:35:12,2.47
TKT-1230,USR-504,pooja_g,2024-01-21 19:59:00,closed,slack,billing,low,2024-01-22 00:08:48,2024-01-22 09:44:36,13.76
TKT-1231,USR-590,michael_b,2024-05-24 06:17:00,closed,slack,website,low,2024-05-24 09:56:33,2024-05-24 14:29:00,8.2
TKT-1232,USR-700,neha_t,2024-05-15 15:40:00,closed,slack,delivery,medium,2024-05-15 17:01:14,2024-05-15 21:18:24,5.64
TKT-1233,USR-438,william_z,2024-02-05 08:35:00,closed,telegram,delivery,medium,2024-02-05 12:10:04,2024-02-05 22:12:12,13.62
TKT-1234,USR-768,shreya_c,2024-03-14 18:18:00,closed,telegram,website,low,2024-03-15 04:29:56,2024-03-15 12:24:36,18.11
TKT-1235,USR-191,james_x,2024-01-10 13:26:00,closed,slack,website,medium,2024-01-10 15:08:10,2024-01-10 19:44:00,6.3
TKT-1236,USR-137,ethan_h,2024-03-15 09:00:00,closed,telegram,delivery,high,2024-03-15 10:23:38,2024-03-15 12:09:36,3.16
TKT-1237,USR-443,ananya_p,2024-05-06 12:54:00,closed,telegram,website,medium,2024-05-06 14:51:46,2024-05-06 19:15:00,6.35
TKT-1238,USR-928,sara_k,2024-06-14 16:45:00,closed,telegram,delivery,medium,2024-06-14 20:20:10,2024-06-15 00:00:00,7.25
TKT-1239,USR-909,ananya_p,2024-06-12 20:52:00,closed,slack,delivery,medium,2024-06-12 23:06:55,2024-06-13 03:39:24,6.79
TKT-1240,USR-510,diya_r,2024-05-02 18:59:00,closed,slack,delivery,high,2024-05-02 19:39:43,2024-05-02 21:12:48,2.23
TKT-1241,USR-341,liam_j,2024-05-26 08:16:00,closed,telegram,billing,low,2024-05-26 18:46:21,2024-05-27 06:17:12,22.02
TKT-1242,USR-163,diya_r,2024-04-14 05:32:00,closed,slack,billing,low,2024-04-14 16:20:49,2024-04-15 01:00:48,19.48
TKT-1243,USR-888,ananya_p,2024-03-16 19:39:00,closed,slack,website,high,2024-03-16 20:22:01,2024-03-16 20:52:48,1.23
TKT-1244,USR-589,rahul_v,2024-04-05 21:44:00,closed,telegram,website,high,2024-04-05 22:40:09,2024-04-06 00:08:36,2.41
TKT-1245,USR-650,diya_r,2024-06-01 10:33:00,closed,slack,delivery,medium,2024-06-01 13:52:37,2024-06-01 17:27:36,6.91
TKT-1246,USR-179,oliver_q,2024-05-09 14:36:00,closed,slack,delivery,high,2024-05-09 15:21:17,2024-05-09 17:26:24,2.84
TKT-1247,USR-974,noah_f,2024-05-29 23:05:00,closed,telegram,delivery,medium,2024-05-30 03:59:45,2024-05-30 12:04:24,12.99
TKT-1248,USR-156,liam_j,2024-05-24 09:35:00,closed,slack,website,medium,2024-05-24 11:56:46,2024-05-24 14:06:12,4.52
TKT-1249,USR-840,alex_m,2024-02-26 02:04:00,closed,telegram,billing,high,2024-02-26 02:41:05,2024-02-26 03:53:48,1.83
TKT-1250,USR-165,riya_m,2024-04-30 09:18:00,closed,slack,delivery,high,2024-04-30 10:36:16,2024-04-30 11:52:12,2.57
